PaymentNumber,AccountId,Amount,CurrencyIsoCode,PaymentMethod,Status,Type,ProcessingMode,TotalApplied,TotalUnapplied,NetApplied
PAY-0001,001bm00001jIHPnAAO,1250,INR,BankTransfer,Processed,Sale,External,0,0,0
PAY-0002,001bm00001jIHPoAAO,820.5,INR,Card,Processed,Sale,External,0,0,0
PAY-0003,001bm00001jIHPpAAO,430,INR,Card,Processed,Sale,External,0,0,0
PAY-0004,001bm00001jIHPqAAO,2599.99,INR,BankTransfer,Processed,Sale,External,0,0,0
PAY-0005,001bm00001jIHPrAAO,150.75,INR,UPI,Processed,Sale,External,0,0,0
PAY-0006,001bm00001jIHPsAAO,999,INR,Card,Processed,Sale,External,0,0,0
PAY-0007,001bm00001jIHPtAAO,45,INR,Cash,Processed,Sale,External,0,0,0
PAY-0008,001bm00001jIHPuAAO,670.4,INR,BankTransfer,Processed,Sale,External,0,0,0
PAY-0009,001bm00001jIHPvAAO,12000,INR,BankTransfer,Processed,Sale,External,0,0,0
PAY-0010,001bm00001jIHPwAAO,300,INR,Card,Processed,Sale,External,0,0,0
PAY-0011,001bm00001jIHPxAAO,760,INR,Card,Processed,Sale,External,0,0,0
PAY-0012,001bm00001jIHPyAAO,210.25,INR,UPI,Processed,Sale,External,0,0,0
PAY-0013,001bm00001jIHPzAAO,499.99,INR,BankTransfer,Processed,Sale,External,0,0,0
PAY-0014,001bm00001jIHQ0AAO,1340,INR,Card,Processed,Sale,External,0,0,0
PAY-0015,001bm00001jIHQ1AAO,89.99,INR,Card,Processed,Sale,External,0,0,0
PAY-0016,001bm00001jIHQ2AAO,560,INR,BankTransfer,Processed,Sale,External,0,0,0
PAY-0017,001bm00001jIHQ3AAO,720,INR,UPI,Processed,Sale,External,0,0,0
PAY-0018,001bm00001jIHQ4AAO,310.1,INR,Card,Processed,Sale,External,0,0,0
PAY-0019,001bm00001jIHQ5AAO,425,INR,BankTransfer,Processed,Sale,External,0,0,0
PAY-0020,001bm00001jIHQ6AAO,1500,INR,BankTransfer,Processed,Sale,External,0,0,0
PAY-0021,001bm00001jIHQ7AAO,95,INR,Card,Processed,Sale,External,0,0,0
PAY-0022,001bm00001jIHQ8AAO,230.5,INR,UPI,Processed,Sale,External,0,0,0
PAY-0023,001bm00001jIHQ9AAO,675.75,INR,BankTransfer,Processed,Sale,External,0,0,0
PAY-0024,001bm00001jIHQAAA4,980,INR,Card,Processed,Sale,External,0,0,0
PAY-0025,001bm00001jIHQBAA4,340,INR,BankTransfer,Processed,Sale,External,0,0,0
PAY-0026,001bm00001jIHQCAA4,2100,INR,BankTransfer,Processed,Sale,External,0,0,0
PAY-0027,001bm00001jIHQDAA4,47.5,INR,Cash,Processed,Sale,External,0,0,0
PAY-0028,001bm00001jIHQEAA4,130,INR,UPI,Processed,Sale,External,0,0,0
PAY-0029,001bm00001jIHQFAA4,875,INR,Card,Processed,Sale,External,0,0,0
PAY-0030,001bm00001jIHQGAA4,149.99,INR,BankTransfer,Processed,Sale,External,0,0,0
PAY-0031,001bm00001jIHQHAA4,999.99,INR,BankTransfer,Processed,Sale,External,0,0,0
PAY-0032,001bm00001jIHQIAA4,60,INR,Cash,Processed,Sale,External,0,0,0
PAY-0033,001bm00001jIHQJAA4,420,INR,Card,Processed,Sale,External,0,0,0
PAY-0034,001bm00001jIHQKAA4,255.25,INR,BankTransfer,Processed,Sale,External,0,0,0
PAY-0035,001bm00001jIHQLAA4,1345,INR,Card,Processed,Sale,External,0,0,0
PAY-0036,001bm00001jIHQMAA4,215.75,INR,UPI,Processed,Sale,External,0,0,0
PAY-0037,001bm00001jIHQNAA4,489,INR,BankTransfer,Processed,Sale,External,0,0,0
PAY-0038,001bm00001jIHQOAA4,59.99,INR,Card,Processed,Sale,External,0,0,0
PAY-0039,001bm00001jIHQPAA4,720,INR,BankTransfer,Processed,Sale,External,0,0,0
PAY-0040,001bm00001jIHQQAA4,305,INR,UPI,Processed,Sale,External,0,0,0
PAY-0041,001bm00001jIHQRAA4,1850,INR,BankTransfer,Processed,Sale,External,0,0,0
PAY-0042,001bm00001jIHQSAA4,99.95,INR,Card,Processed,Sale,External,0,0,0
PAY-0043,001bm00001jIHQTAA4,410,INR,BankTransfer,Processed,Sale,External,0,0,0
PAY-0044,001bm00001jIHQUAA4,550,INR,Card,Processed,Sale,External,0,0,0
PAY-0045,001bm00001jIHQVAA4,7200,INR,BankTransfer,Processed,Sale,External,0,0,0
PAY-0046,001bm00001jIHQWAA4,45,INR,Cash,Processed,Sale,External,0,0,0
PAY-0047,001bm00001jIHQXAA4,310.1,INR,UPI,Processed,Sale,External,0,0,0
PAY-0048,001bm00001jIHQYAA4,999,INR,Card,Processed,Sale,External,0,0,0
PAY-0049,001bm00001jIHQZAA4,250,INR,BankTransfer,Processed,Sale,External,0,0,0
PAY-0050,001bm00001jIHQaAAO,129.99,INR,Card,Processed,Sale,External,0,0,0
