AccountId,TransactionDate,TransactionDate,EffectiveDate,DueDate,TotalAmountWithTax,ImpactAmount,ResultingBalance,CurrencyIsoCode,FinanceSystemTransactionNumber,EventType,EventAction,ReferenceEntityId,ReferenceEntityType,SourceEntityId,DestinationEntityId,Subtotal,TaxAmount,TotalAmountWithTax,ChargeAmount,AdjustmentAmount,EffectiveDate,DueDate,OriginalEventType,OriginalEventAction
001bm00001jIHPnAAO,2026-03-01T00:00:00.000+0000,3/1/2026,3/1/2026,3/5/2026,1500,1500,45000,INR,FS-TRX-1001,Allocated,"	
Pay debit memo line",a04bm000005oommAAA,Payment,a04bm000005oommAAA,0aQbm0000002BCHEA2,1500,0,1500,0,0,2026-03-01T00:00:00.000+0000,2026-03-05T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHPoAAO,2026-03-02T00:00:00.000+0000,3/2/2026,3/2/2026,3/6/2026,250.75,250.75,44749.25,INR,FS-TRX-1002,Allocated,"	
Pay debit memo line",a04bm000005oomnAAA,Payment,a04bm000005oomnAAA,0aQbm0000002BCIEA2,250.75,0,250.75,0,0,2026-03-02T00:00:00.000+0000,2026-03-06T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHPpAAO,2026-03-03T00:00:00.000+0000,3/3/2026,3/3/2026,3/7/2026,599,599,44150.25,INR,FS-TRX-1003,Allocated,"	
Pay debit memo line",a04bm000005oomoAAA,Payment,a04bm000005oomoAAA,0aQbm0000002BCJEA2,599,0,599,0,0,2026-03-03T00:00:00.000+0000,2026-03-07T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHPqAAO,2026-03-04T00:00:00.000+0000,3/4/2026,3/4/2026,3/8/2026,12000,12000,12000,INR,FS-TRX-1004,Allocated,"	
Pay debit memo line",a04bm000005oompAAA,Payment,a04bm000005oompAAA,0aQbm0000002BCKEA2,12000,0,12000,0,0,2026-03-04T00:00:00.000+0000,2026-03-08T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHPrAAO,2026-03-05T00:00:00.000+0000,3/5/2026,3/5/2026,3/9/2026,75.5,75.5,44673.75,INR,FS-TRX-1005,Allocated,"	
Pay debit memo line",a04bm000005oomqAAA,Payment,a04bm000005oomqAAA,0aQbm0000002BCLEA2,75.5,0,75.5,0,0,2026-03-05T00:00:00.000+0000,2026-03-09T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHPsAAO,2026-03-06T00:00:00.000+0000,3/6/2026,3/6/2026,3/10/2026,5000,5000,5000,INR,FS-TRX-1006,Allocated,"	
Pay debit memo line",a04bm000005oomrAAA,Payment,a04bm000005oomrAAA,0aQbm0000002BCMEA2,5000,0,5000,0,0,2026-03-06T00:00:00.000+0000,2026-03-10T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHPtAAO,2026-03-07T00:00:00.000+0000,3/7/2026,3/7/2026,3/11/2026,199.99,199.99,43950.26,INR,FS-TRX-1007,Allocated,"	
Pay debit memo line",a04bm000005oomsAAA,Payment,a04bm000005oomsAAA,0aQbm0000002BCNEA2,199.99,0,199.99,0,0,2026-03-07T00:00:00.000+0000,2026-03-11T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHPuAAO,2026-03-08T00:00:00.000+0000,3/8/2026,3/8/2026,3/12/2026,349,349,953,INR,FS-TRX-1008,Allocated,"	
Pay debit memo line",a04bm000005oomtAAA,Payment,a04bm000005oomtAAA,0aQbm0000002BCOEA2,349,0,349,0,0,2026-03-08T00:00:00.000+0000,2026-03-12T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHPvAAO,2026-03-09T00:00:00.000+0000,3/9/2026,3/9/2026,3/13/2026,999,999,11001,INR,FS-TRX-1009,Allocated,"	
Pay debit memo line",a04bm000005oomuAAA,Payment,a04bm000005oomuAAA,0aQbm0000002BCPEA2,999,0,999,0,0,2026-03-09T00:00:00.000+0000,2026-03-13T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHPwAAO,2026-03-10T00:00:00.000+0000,3/10/2026,3/10/2026,3/14/2026,45,45,44628.75,INR,FS-TRX-1010,Allocated,"	
Pay debit memo line",a04bm000005oomvAAA,Payment,a04bm000005oomvAAA,0aQbm0000002BCQEA2,45,0,45,0,0,2026-03-10T00:00:00.000+0000,2026-03-14T00:00:00.000+0000,Allocated,Pay debit memo line
