FinanceTransactionNumber,AccountId,TransactionDate,EffectiveDate,DueDate,Amount,ImpactAmount,ResultingBalance,CurrencyIsoCode,FinanceSystemTransactionNumber,EventType,EventAction,ReferenceEntityId,ReferenceEntityType,SourceEntityId,DestinationEntityId,Subtotal,TaxAmount,TotalAmountWithTax,ChargeAmount,AdjustmentAmount
FTX-00001,<ACCOUNT_ID_1>,2026-04-01,2026-04-01,2026-04-05,1500.00,1500.00,45000.00,INR,FS-TRX-1001,Payment,Charge,<REF_ENTITY_ID_1>,FinancialAccount,<SRC_ENTITY_ID_1>,<DEST_ENTITY_ID_1>,1500.00,0.00,1500.00,0.00,0.00
FTX-00002,<ACCOUNT_ID_2>,2026-04-02,2026-04-02,2026-04-06,250.75,250.75,44749.25,INR,FS-TRX-1002,Adjustment,Refund,<REF_ENTITY_ID_2>,FinancialAccount,<SRC_ENTITY_ID_2>,<DEST_ENTITY_ID_2>,250.75,0.00,250.75,0.00,0.00
FTX-00003,<ACCOUNT_ID_1>,2026-04-03,2026-04-03,2026-04-07,599.00,599.00,44150.25,INR,FS-TRX-1003,Fee,Charge,<REF_ENTITY_ID_3>,FinancialAccount,<SRC_ENTITY_ID_3>,<DEST_ENTITY_ID_3>,599.00,0.00,599.00,0.00,0.00
FTX-00004,<ACCOUNT_ID_3>,2026-04-04,2026-04-04,2026-04-08,12000.00,12000.00,12000.00,INR,FS-TRX-1004,Settlement,Payment,<REF_ENTITY_ID_4>,FinancialAccount,<SRC_ENTITY_ID_4>,<DEST_ENTITY_ID_4>,12000.00,0.00,12000.00,0.00,0.00
FTX-00005,<ACCOUNT_ID_2>,2026-04-05,2026-04-05,2026-04-09,75.50,75.50,44673.75,INR,FS-TRX-1005,Payment,Charge,<REF_ENTITY_ID_5>,FinancialAccount,<SRC_ENTITY_ID_5>,<DEST_ENTITY_ID_5>,75.50,0.00,75.50,0.00,0.00
FTX-00006,<ACCOUNT_ID_4>,2026-04-06,2026-04-06,2026-04-10,5000.00,5000.00,5000.00,INR,FS-TRX-1006,Refund,Adjustment,<REF_ENTITY_ID_6>,FinancialAccount,<SRC_ENTITY_ID_6>,<DEST_ENTITY_ID_6>,5000.00,0.00,5000.00,0.00,0.00
FTX-00007,<ACCOUNT_ID_1>,2026-04-07,2026-04-07,2026-04-11,199.99,199.99,43950.26,INR,FS-TRX-1007,Charge,Fee,<REF_ENTITY_ID_7>,FinancialAccount,<SRC_ENTITY_ID_7>,<DEST_ENTITY_ID_7>,199.99,0.00,199.99,0.00,0.00
FTX-00008,<ACCOUNT_ID_5>,2026-04-08,2026-04-08,2026-04-12,349.00,349.00,953.00,INR,FS-TRX-1008,Payment,Charge,<REF_ENTITY_ID_8>,FinancialAccount,<SRC_ENTITY_ID_8>,<DEST_ENTITY_ID_8>,349.00,0.00,349.00,0.00,0.00
FTX-00009,<ACCOUNT_ID_3>,2026-04-09,2026-04-09,2026-04-13,999.00,999.00,11001.00,INR,FS-TRX-1009,Charge,Adjustment,<REF_ENTITY_ID_9>,FinancialAccount,<SRC_ENTITY_ID_9>,<DEST_ENTITY_ID_9>,999.00,0.00,999.00,0.00,0.00
FTX-00010,<ACCOUNT_ID_2>,2026-04-10,2026-04-10,2026-04-14,45.00,45.00,44628.75,INR,FS-TRX-1010,Payment,Charge,<REF_ENTITY_ID_10>,FinancialAccount,<SRC_ENTITY_ID_10>,<DEST_ENTITY_ID_10>,45.00,0.00,45.00,0.00,0.00
